"","years","jugador","name","pos","bat","lan","exp","pais","estado","ciudad"
"1309","1997-98","T. Meteoyer","Tony Meteoyer","P","","","1","USA","",""
"1310","1997-98","J. Montanez","Johan Montanez","P","D","D","2","Venezuela","Lara","Barquisimeto"
"1311","1997-98","J. Monzon","José Monzon","C","D","D","11","Venezuela","Vargas","La Guaira"
"1312","1997-98","T. Moore","Trey Moore","P","Z","Z","1","USA","Texas","Houston"
"1313","1997-98","J. Moreno","Juan Moreno","P","Z","Z","4","Venezuela","Vargas","Maiquetia"
"1314","1997-98","D. Mosquera","David Mosquera","P","D","D","11","Venezuela","D.F.","Caracas"
"1315","1997-98","G. Norton","Gregory Blakemoor Norton","3B","A","D","1","USA","California","San Leandro"
"1316","1997-98","W. Oropeza","William Oropeza","C","D","D","5","Venezuela","Vargas","La Guaira"
"1317","1997-98","D. Pacheco","Delvis Pacheco","P","D","D","2","Venezuela","D.F.","Caracas"
"1318","1997-98","M. Pernalete","Marco Pernalete","2B","A","D","1","Venezuela","Lara","Barquisimeto"
"1319","1997-98","A. Prieto","Alejandro Antonio Prieto","3B","D","D","5","Venezuela","D.F.","Caracas"
"1320","1997-98","C. Rodríguez","Cristóbal Rodríguez","P","D","D","1","Venezuela","Falcon","Chichiriviche"
"1321","1997-98","G. Rodríguez","Guillermo Segundo Rodríguez Pérez","C","D","D","2","Venezuela","Lara","Barquisimeto"
"1322","1997-98","J. Safer","Jon Safer","CF","","","2","USA","Arizona","Tucson"
"1323","1997-98","L. Salazar","Luis Rafael Salazar","P","D","D","6","Venezuela","Anzoategui","Caigua"
"1324","1997-98","A. Santaella","Alexis Santaella","P","D","D","5","Venezuela","D.F.","Caracas"
"1325","1997-98","C. Snopek","Christopher Charles Snopek","SS","D","D","2","USA","Kentucky","Cynthiana"
"1326","1997-98","C. Subero","Carlos I. Subero","IF","A","D","7","Venezuela","D.F.","Caracas"
"1327","1997-98","C. Tovar","Carlos Tovar","P","D","D","8","Venezuela","Bolivar","San Felix"
"1328","1998-99","O. Araujo","Orlany Araujo","BD","D","D","2","Venezuela","Lara","Barquisimeto"
"1329","1998-99","F. Arellan","Félix Arellan","P","D","D","1","Venezuela","Vargas","La Guaira"
"1330","1998-99","A. Barkett","Andy Barkett","1B","Z","Z","1","USA","Florida","Miami"
"1331","1998-99","K. Batker","Kevin Batker","1B","Z","Z","1","USA","Virginia","Bristol"
"1332","1998-99","T. Belk","Timothy William Belk","1B","D","D","2","USA","Ohio","Cincinnati"
"1333","1998-99","J. Boscán","Jean Carlos Boscán","C","D","D","2","Venezuela","Zulia","Maracaibo"
"1334","1998-99","W. Canate","William Emisael Canate Librada","CF","D","D","9","Venezuela","Zulia","Bobures"
"1335","1998-99","M. Castillo","Marcos Castillo","P","D","D","2","Venezuela","Sucre","Rio Caribe"
"1336","1998-99","J. Centeno","Ángel José Centeno","P","Z","Z","7","Venezuela","Anzoategui","El Tigrito"
"1337","1998-99","F. Charles","Frank Charles","C","D","D","1","USA","California","Fontana"
"1338","1998-99","C. Colon","Cristóbal Colon","SS","A","D","13","Venezuela","Vargas","La Guaira"
"1339","1998-99","J. Cordido","Julio César Cordido Mejias","3B","D","D","1","Venezuela","Yaracuy","San Felipe"
"1340","1998-99","M. Dabreu","Milton Dabreu","P","D","D","3","Venezuela","Aragua","Maracay"
"1341","1998-99","T. Dixon","Timothy Dixon","P","Z","Z","1","USA","",""
"1342","1998-99","A. Escobar","Alex Escobar","CF","D","D","3","Venezuela","Carabobo","Valencia"
"1343","1998-99","A. Espinoza","Andrés Espinoza","CF","D","D","1","Venezuela","Yaracuy","San Felipe"
"1344","1998-99","A. Gómez","Agustín Gómez","P","D","D","6","Venezuela","D.F.","Caracas"
"1345","1998-99","O. Guillén","Oswaldo José Guillén Barrios","IF","Z","D","12","Venezuela","Miranda","Ocumare del Tuy"
"1346","1998-99","F. Jiménez","Felipe Jiménez","CF","A","D","3","Venezuela","Sucre","Cariaco"
"1347","1998-99","R. Jiménez","Reinaldo Jiménez","P","D","D","2","Venezuela","Lara","Barquisimeto"
"1348","1998-99","J. Julio","Jorge Dandys Julio Tapia","P","D","D","2","Venezuela","D.F.","Caracas"
"1349","1998-99","R. Kelley","Richard Kelley","P","Z","Z","1","USA","Florida","Lakeland"
"1350","1998-99","S. Krausse","Scott Krausse","CF","D","D","1","USA","Ohio","Euclid"
"1351","1998-99","L. Landaeta","Luis Oswaldo Landaeta","CF","Z","Z","4","Venezuela","Carabobo","Valencia"
"1352","1998-99","F. Lira","Antonio Felipe Lira","P","D","D","10","Venezuela","Miranda","Santa Teresa del Tuy"
"1353","1998-99","A. Machado","Albenis Machado","SS","A","D","2","Venezuela","D.F.","Caracas"
"1354","1998-99","L. Martínez","Lionel Martínez","P","D","D","1","Venezuela","Bolivar","San Felix"
"1355","1998-99","R. Marval","Raúl Marval","2B","D","D","5","Venezuela","Lara","Cabudare"
"1356","1998-99","C. Mendoza","Carlos Mendoza","3B","A","D","1","Venezuela","Lara","Barquisimeto"
"1357","1998-99","J. Montanez","Johan Montanez","P","D","D","3","Venezuela","Lara","Barquisimeto"
"1358","1998-99","K. Noriega","Kevin Noriega","CF","A","D","6","Venezuela","D.F.","Caracas"
"1359","1998-99","G. Norton","Gregory Blakemoor Norton","3B","A","D","2","USA","California","San Leandro"
"1360","1998-99","W. Oropeza","William Oropeza","C","D","D","6","Venezuela","Vargas","La Guaira"
"1361","1998-99","D. Pacheco","Delvis Pacheco","P","D","D","3","Venezuela","D.F.","Caracas"
"1362","1998-99","I. Paez","Iran Paez","IF","D","D","4","Desconocido","",""
"1363","1998-99","B. Pennington","Brad Lee Pennington","P","Z","Z","3","USA","Indiana","Salem"
"1364","1998-99","M. Pernalete","Marco Pernalete","2B","A","D","2","Venezuela","Lara","Barquisimeto"
"1365","1998-99","L. Pote","Lou Pote","P","D","D","1","USA","Illinois","Evergreen Park"
"1366","1998-99","J. Ratliff","Jon Ratliff","P","D","D","1","USA","Nueva York","Syracuse"
"1367","1998-99","C. Rodríguez","Cristóbal Rodríguez","P","D","D","2","Venezuela","Falcon","Chichiriviche"
"1368","1998-99","F. Rodríguez","Francisco Rodríguez","P","D","D","1","USA","Nueva York","Brooklyn"
"1369","1998-99","G. Rodríguez","Guillermo Segundo Rodríguez Pérez","C","D","D","3","Venezuela","Lara","Barquisimeto"
"1370","1998-99","O. Saenz","Olmedo Saenz Sánchez","3B","D","D","3","Panama","","Chitre"
"1371","1998-99","C. Seelbach","Chris Seelbach","P","D","D","1","USA","Texas","Lufkin"
"1372","1998-99","R. Simon","Randall Carlito Simon","1B","Z","Z","2","Curazao","","Willemstad"
"1373","1998-99","S. Torrealba","Steve Torrealba","C","D","D","3","Venezuela","Lara","Barquisimeto"
"1374","1998-99","B. Torres","Bernardino Torres","SS","D","D","1","Venezuela","Carabobo","Valencia"
"1375","1998-99","D. Torres","Dilson Darío Torres","P","D","D","8","Venezuela","Aragua","Maracay"
"1376","1998-99","J. Velandia","Jorge Luis Velandia Macias","SS","D","D","7","Venezuela","D.F.","Caracas"
"1377","1998-99","M. Whiteside","Matthew Christopher Whiteside","P","D","D","1","USA","Misuri","Charleston"
"1378","1999-00","F. Arellan","Félix Arellan","P","D","D","2","Venezuela","Vargas","La Guaira"
"1379","1999-00","O. Azocar","Óscar Gregorio Azocar","CF","Z","Z","17","Venezuela","Sucre","Soro"
"1380","1999-00","H. Baez","Homer Baez","P","Z","Z","3","Venezuela","Miranda","Cua"
"1381","1999-00","A. Barkett","Andy Barkett","1B","Z","Z","2","USA","Florida","Miami"
"1382","1999-00","G. Beck","Gregory Beck","P","D","D","2","USA","Michigan","Ann Arbor"
"1383","1999-00","J. Boscán","Jean Carlos Boscán","C","D","D","3","Venezuela","Zulia","Maracaibo"
"1384","1999-00","C. Burguillos","Carlos Burguillos","CF","D","D","9","Venezuela","Miranda","Caucagua"
"1385","1999-00","M. Castillo","Marcos Castillo","P","D","D","3","Venezuela","Sucre","Rio Caribe"
"1386","1999-00","M. Cather","Michael Peter Cather","P","D","D","1","USA","California","San Diego"
"1387","1999-00","J. Centeno","Ángel José Centeno","P","Z","Z","8","Venezuela","Anzoategui","El Tigrito"
"1388","1999-00","B. Chen","Bruce Chen","P","A","Z","1","Panama","","Panama City"
"1389","1999-00","C. Colon","Cristóbal Colon","SS","A","D","14","Venezuela","Vargas","La Guaira"
"1390","1999-00","J. Cordido","Julio César Cordido Mejias","3B","D","D","2","Venezuela","Yaracuy","San Felipe"
"1391","1999-00","D. Ebert","Derrin Ebert","P","D","Z","1","USA","California","Anaheim"
"1392","1999-00","A. Espinoza","Andrés Espinoza","CF","D","D","2","Venezuela","Yaracuy","San Felipe"
"1393","1999-00","S. Falteisek","Steven James Falteisek","P","D","D","1","USA","Nueva York","Mineola"
"1394","1999-00","R. Henderson","Rodney Wood Henderson","P","D","D","2","USA","Kentucky","Greensburg"
"1395","1999-00","J. Hernández","Jesús Hernández","P","D","D","8","Venezuela","D.F.","Caracas"
"1396","1999-00","N. Hutchins","Norman Hutchins","CF","D","Z","1","USA","Nueva York","White Plains"
"1397","1999-00","M. Jaramillo","Milko Jaramillo","SS","A","Z","1","Venezuela","D.F.","Caracas"
"1398","1999-00","M. Jensen","Marcus Christian Jensen","C","A","D","1","USA","California","Oakland"
"1399","1999-00","J. Julio","Jorge Dandys Julio Tapia","P","D","D","3","Venezuela","D.F.","Caracas"
"1400","1999-00","S. Krausse","Scott Krausse","CF","D","D","2","USA","Ohio","Euclid"
"1401","1999-00","L. Landaeta","Luis Oswaldo Landaeta","CF","Z","Z","5","Venezuela","Carabobo","Valencia"
"1402","1999-00","F. Lira","Antonio Felipe Lira","P","D","D","11","Venezuela","Miranda","Santa Teresa del Tuy"
"1403","1999-00","G. Lombard","George Lombard","CF","Z","D","1","USA","Georgia","Atlanta"
"1404","1999-00","A. Machado","Albenis Machado","SS","A","D","3","Venezuela","D.F.","Caracas"
"1405","1999-00","J. Manaure","Joanne Manaure","P","","","1","Venezuela","",""
"1406","1999-00","J. Marquez","Jesús Marquez","CF","Z","Z","8","Venezuela","D.F.","Caracas"
"1407","1999-00","R. Marval","Raúl Marval","2B","D","D","6","Venezuela","Lara","Cabudare"
"1408","1999-00","C. Mory","Carlos Mory","P","D","D","1","Venezuela","D.F.","Caracas"
"1409","1999-00","Y. Naveda","Yonni Naveda","P","D","D","8","Venezuela","Falcon","Los Taques"
"1410","1999-00","K. Noriega","Kevin Noriega","CF","A","D","7","Venezuela","D.F.","Caracas"
"1411","1999-00","R. Olmedo","Rainer Gustavo Olmedo","SS","A","D","1","Venezuela","Aragua","Maracay"
"1412","1999-00","W. Oropeza","William Oropeza","C","D","D","7","Venezuela","Vargas","La Guaira"
"1413","1999-00","D. Pacheco","Delvis Pacheco","P","D","D","4","Venezuela","D.F.","Caracas"
"1414","1999-00","M. Pernalete","Marco Pernalete","2B","A","D","3","Venezuela","Lara","Barquisimeto"
"1415","1999-00","L. Pote","Lou Pote","P","D","D","2","USA","Illinois","Evergreen Park"
"1416","1999-00","D. Powell","Le Jon Dante Powell","CF","D","D","1","USA","California","Long Beach"
"1417","1999-00","C. Rodríguez","Cristóbal Rodríguez","P","D","D","3","Venezuela","Falcon","Chichiriviche"
"1418","1999-00","G. Rodríguez","Guillermo Segundo Rodríguez Pérez","C","D","D","4","Venezuela","Lara","Barquisimeto"
"1419","1999-00","J. Salas","José Salas","1B","D","D","1","Venezuela","D.F.","Caracas"
"1420","1999-00","L. Salazar","Luis Rafael Salazar","P","D","D","8","Venezuela","Anzoategui","Caigua"
"1421","1999-00","R. Sorzano","Ronnie Sorzano","P","D","D","5","Venezuela","D.F.","Caracas"
"1422","1999-00","J. Velandia","Jorge Luis Velandia Macias","SS","D","D","8","Venezuela","D.F.","Caracas"
"1423","1999-00","M. Whiten","Mark Anthony Whiten","CF","A","D","5","USA","Florida","Pensacola"
"1424","1999-00","K. Wunsch","Kelly Wunsch","P","Z","Z","1","USA","Texas","Houston"
"1425","1999-00","E. Zosky","Edward James Zosky","IF","D","D","1","USA","California","Whittier"
"1426","1999-00","T. Zurita","Tomas Antonio Zurita","P","D","D","1","Venezuela","Anzoategui","Clarines"
"1427","2000-01","F. Arellan","Félix Arellan","P","D","D","3","Venezuela","Vargas","La Guaira"
"1428","2000-01","E. Arteaga","Erick Alexander Arteaga","P","D","D","1","Venezuela","Yaracuy","San Felipe"
"1429","2000-01","O. Azocar","Óscar Gregorio Azocar","CF","Z","Z","18","Venezuela","Sucre","Soro"
"1430","2000-01","H. Baez","Homer Baez","P","Z","Z","4","Venezuela","Miranda","Cua"
"1431","2000-01","G. Beck","Gregory Beck","P","D","D","3","USA","Michigan","Ann Arbor"
"1432","2000-01","J. Boll","Javier Eduardo Boll","CF","D","D","1","Venezuela","D.F.","Caracas"
"1433","2000-01","J. Boscán","Jean Carlos Boscán","C","D","D","4","Venezuela","Zulia","Maracaibo"
"1434","2000-01","M. Busby","Michael James Busby","P","D","D","1","USA","California","Lomita"
"1435","2000-01","G. Casadiego","Gerardo Casadiego","P","D","D","1","Venezuela","Lara","Barquisimeto"
"1436","2000-01","L. Collier","Louis Keith Collier","CF","D","D","1","USA","Illinois","Chicago"
"1437","2000-01","C. Colon","Cristóbal Colon","SS","A","D","15","Venezuela","Vargas","La Guaira"
"1438","2000-01","J. Cordido","Julio César Cordido Mejias","3B","D","D","3","Venezuela","Yaracuy","San Felipe"
"1439","2000-01","C. Duran","Carlos Duran","CF","Z","Z","1","Venezuela","Lara","Barquisimeto"
"1440","2000-01","A. Escobar","Alex Escobar","CF","D","D","4","Venezuela","Carabobo","Valencia"
"1441","2000-01","L. Gardner","Terrence Lee Gardner","P","D","D","1","USA","Michigan","Hartland"
"1442","2000-01","E. González","Enrique César González","P","D","D","1","Venezuela","Bolivar","Ciudad Bolivar"
"1443","2000-01","C. Gubanich","Creighton Gubanich","BD","D","D","3","USA","Nueva Jersey","Belleville"
"1444","2000-01","O. Guillén","Oswaldo José Guillén Barrios","IF","Z","D","13","Venezuela","Miranda","Ocumare del Tuy"
"1445","2000-01","A. Hazlet","Andrew Hazlet","P","D","D","1","USA","California","Arcadia"
"1446","2000-01","B. Jacobsen","Larry William Jacobsen","BD","D","D","1","USA","Wyoming","Riverton"
"1447","2000-01","C. Jones","Christopher Carlos Jones","CF","D","D","1","USA","Nueva York","Utica"
"1448","2000-01","J. Julio","Jorge Dandys Julio Tapia","P","D","D","4","Venezuela","D.F.","Caracas"
"1449","2000-01","A. Levrault","Allen Levrault","P","D","D","1","USA","Massachusetts","Fall River"
"1450","2000-01","F. Lira","Antonio Felipe Lira","P","D","D","12","Venezuela","Miranda","Santa Teresa del Tuy"
"1451","2000-01","A. Machado","Albenis Machado","SS","A","D","4","Venezuela","D.F.","Caracas"
"1452","2000-01","J. Marquez","Jesús Marquez","CF","Z","Z","9","Venezuela","D.F.","Caracas"
"1453","2000-01","G. Martínez","Greg Martínez","CF","A","D","1","USA","Nevada","Las Vegas"
"1454","2000-01","R. Marval","Raúl Marval","2B","D","D","7","Venezuela","Lara","Cabudare"
"1455","2000-01","C. Mendoza","Carlos Mendoza","3B","A","D","2","Venezuela","Lara","Barquisimeto"
"1456","2000-01","B. Miadich","Bart Miadich","P","D","D","1","USA","California","Torrance"
"1457","2000-01","Y. Naveda","Yonni Naveda","P","D","D","9","Venezuela","Falcon","Los Taques"
"1458","2000-01","K. Noriega","Kevin Noriega","CF","A","D","8","Venezuela","D.F.","Caracas"
"1459","2000-01","T. Nunnari","Talmadge Nunnari","CF","Z","Z","2","USA","Florida","Pensacola"
"1460","2000-01","R. Olmedo","Rainer Gustavo Olmedo","SS","A","D","2","Venezuela","Aragua","Maracay"
"1461","2000-01","A. Oropeza","Asdrubal Oropeza","3B","D","D","1","Venezuela","Lara","Barquisimeto"
"1462","2000-01","W. Oropeza","William Oropeza","C","D","D","8","Venezuela","Vargas","La Guaira"
"1463","2000-01","C. Ortega","Carlos Ortega","P","Z","Z","1","Venezuela","Carabobo","Puerto Cabello"
"1464","2000-01","M. Ortiz","Miguel Ortiz","2B","D","D","1","Venezuela","Aragua","Maracay"
"1465","2000-01","D. Pacheco","Delvis Pacheco","P","D","D","5","Venezuela","D.F.","Caracas"
"1466","2000-01","E. Pérez","Erick Pérez","P","Z","Z","10","Venezuela","D.F.","Caracas"
"1467","2000-01","M. Pernalete","Marco Pernalete","2B","A","D","4","Venezuela","Lara","Barquisimeto"
"1468","2000-01","D. Reina","Dimas Reina","P","D","D","1","Venezuela","D.F.","Caracas"
"1469","2000-01","C. Rodríguez","Cristóbal Rodríguez","P","D","D","4","Venezuela","Falcon","Chichiriviche"
"1470","2000-01","G. Rodríguez","Guillermo Segundo Rodríguez Pérez","C","D","D","5","Venezuela","Lara","Barquisimeto"
"1471","2000-01","L. Salazar","Luis Rafael Salazar","P","D","D","9","Venezuela","Anzoategui","Caigua"
"1472","2000-01","R. Sorzano","Ronnie Sorzano","P","D","D","6","Venezuela","D.F.","Caracas"
"1473","2000-01","V. Valencia","Víctor Rafael Valencia","C","D","D","2","Venezuela","Aragua","Maracay"
"1474","2000-01","J. Velandia","Jorge Luis Velandia Macias","SS","D","D","9","Venezuela","D.F.","Caracas"
"1475","2000-01","L. Wimberly","Larry Wimberly","P","D","D","1","USA","Florida","Zellwood"
"1476","2000-01","E. Zambrano","Eduardo José Zambrano Guerra","CF","D","D","17","Venezuela","Zulia","Maracaibo"
"1477","2001-02","T. Araque","Tulio Araque","CF","D","D","1","Venezuela","Zulia","Maracaibo"
"1478","2001-02","E. Arteaga","Erick Alexander Arteaga","P","D","D","2","Venezuela","Yaracuy","San Felipe"
"1479","2001-02","O. Azocar","Óscar Gregorio Azocar","CF","Z","Z","19","Venezuela","Sucre","Soro"
"1480","2001-02","J. Boll","Javier Eduardo Boll","CF","D","D","2","Venezuela","D.F.","Caracas"
"1481","2001-02","G. Casadiego","Gerardo Casadiego","P","D","D","2","Venezuela","Lara","Barquisimeto"
"1482","2001-02","L. Collier","Louis Keith Collier","CF","D","D","2","USA","Illinois","Chicago"
"1483","2001-02","C. Colon","Cristóbal Colon","SS","A","D","16","Venezuela","Vargas","La Guaira"
"1484","2001-02","J. Cordido","Julio César Cordido Mejias","3B","D","D","4","Venezuela","Yaracuy","San Felipe"
"1485","2001-02","R. Cordova","Ricardo Arturo Cordova","IF","A","D","2","Venezuela","Aragua","Maracay"
"1486","2001-02","B. Cornett","Brad Byron Cornett","P","D","D","1","USA","Texas","Lamesa"
"1487","2001-02","A. Correa","Alexander Correa","P","Z","Z","1","Venezuela","Guarico","Chaguaramos"
"1488","2001-02","C. Coste","Christopher Robert Coste","CF","D","D","2","USA","Dakota del Norte","Fargo"
"1489","2001-02","C. Duran","Carlos Duran","CF","Z","Z","2","Venezuela","Lara","Barquisimeto"
"1490","2001-02","A. Escobar","Alex Escobar","CF","D","D","5","Venezuela","Carabobo","Valencia"
"1491","2001-02","S. Falteisek","Steven James Falteisek","P","D","D","2","USA","Nueva York","Mineola"
"1492","2001-02","E. González","Enrique César González","P","D","D","2","Venezuela","Bolivar","Ciudad Bolivar"
"1493","2001-02","T. Harikkala","Timothy Allan Harikkala","P","D","D","5","USA","Florida","West Palm Beach"
"1494","2001-02","J. Hernández","José Hernández","C","D","D","1","Venezuela","Carabobo","Valencia"
"1495","2001-02","C. Jones","Christopher Carlos Jones","CF","D","D","2","USA","Nueva York","Utica"
"1496","2001-02","J. Julio","Jorge Dandys Julio Tapia","P","D","D","5","Venezuela","D.F.","Caracas"
"1497","2001-02","F. Lira","Antonio Felipe Lira","P","D","D","13","Venezuela","Miranda","Santa Teresa del Tuy"
"1498","2001-02","S. Lundberg","Spike Lundberg","P","D","D","1","USA","California","San Diego"
"1499","2001-02","A. Machado","Albenis Machado","SS","A","D","5","Venezuela","D.F.","Caracas"
"1500","2001-02","J. Marquez","Jesús Marquez","CF","Z","Z","10","Venezuela","D.F.","Caracas"
"1501","2001-02","K. Noriega","Kevin Noriega","CF","A","D","9","Venezuela","D.F.","Caracas"
"1502","2001-02","T. Nunnari","Talmadge Nunnari","CF","Z","Z","3","USA","Florida","Pensacola"
"1503","2001-02","R. Olmedo","Rainer Gustavo Olmedo","SS","A","D","3","Venezuela","Aragua","Maracay"
"1504","2001-02","A. Oropeza","Asdrubal Oropeza","3B","D","D","2","Venezuela","Lara","Barquisimeto"
"1505","2001-02","W. Oropeza","William Oropeza","C","D","D","9","Venezuela","Vargas","La Guaira"
"1506","2001-02","C. Ortega","Carlos Ortega","P","Z","Z","2","Venezuela","Carabobo","Puerto Cabello"
"1507","2001-02","M. Ortiz","Miguel Ortiz","2B","D","D","2","Venezuela","Aragua","Maracay"
"1508","2001-02","D. Pacheco","Delvis Pacheco","P","D","D","6","Venezuela","D.F.","Caracas"
"1509","2001-02","J. Paz","Jackson Paz","P","D","Z","1","Venezuela","Zulia","Maracaibo"
"1510","2001-02","M. Pernalete","Marco Pernalete","2B","A","D","5","Venezuela","Lara","Barquisimeto"
"1511","2001-02","L. Raven","Luis Alberto Raven Enriquez","BD","D","D","11","Venezuela","Vargas","La Guaira"
"1512","2001-02","D. Reina","Dimas Reina","P","D","D","2","Venezuela","D.F.","Caracas"
"1513","2001-02","G. Rodríguez","Guillermo Segundo Rodríguez Pérez","C","D","D","6","Venezuela","Lara","Barquisimeto"
"1514","2001-02","L. Salazar","Luis Rafael Salazar","P","D","D","10","Venezuela","Anzoategui","Caigua"
"1515","2001-02","R. Salazar","Richard Salazar","P","Z","Z","1","Venezuela","D.F.","Caracas"
"1516","2001-02","A. Sánchez","Alex Sánchez","CF","Z","Z","3","Cuba","","La Habana"
"1517","2001-02","L. Schuermann","Lance Schuermann","P","","","1","USA","",""
"1518","2001-02","E. Stull","Everett James Stull","P","D","D","1","USA","Kansas","Fort Riley"
"1519","2001-02","J. Tessmer","Jay Tessmer","P","D","D","1","USA","Pensilnavia","Meadville"
"1520","2001-02","L. Torres","Luis Torres","P","Z","D","1","Venezuela","D.F.","Caracas"
"1521","2001-02","V. Valencia","Víctor Rafael Valencia","C","D","D","3","Venezuela","Aragua","Maracay"
"1522","2001-02","J. Velandia","Jorge Luis Velandia Macias","SS","D","D","10","Venezuela","D.F.","Caracas"
"1523","2001-02","D. Wheeler","Daniel Michael Wheeler","P","D","D","1","USA","Rhode Island","Providence"
"1524","2001-02","D. Wilson","Desi Bernard Wilson","1B","Z","Z","3","USA","Nueva York","Glen Cove"
"1525","2001-02","E. Zambrano","Eduardo José Zambrano Guerra","CF","D","D","18","Venezuela","Zulia","Maracaibo"
"1526","2002-03","J. Amado","José Amado","IF","D","D","6","Venezuela","Tachira","San Cristobal"
"1527","2002-03","T. Araque","Tulio Araque","CF","D","D","2","Venezuela","Zulia","Maracaibo"
"1528","2002-03","F. Arellan","Félix Arellan","P","D","D","4","Venezuela","Vargas","La Guaira"
"1529","2002-03","E. Arteaga","Erick Alexander Arteaga","P","D","D","3","Venezuela","Yaracuy","San Felipe"
"1530","2002-03","O. Azocar","Óscar Gregorio Azocar","CF","Z","Z","20","Venezuela","Sucre","Soro"
"1531","2002-03","R. Beasley","Raymond Beasley","P","D","Z","1","USA","Georgia","Savannah"
"1532","2002-03","G. Blanco","Gregor M. Blanco Pedraza","CF","Z","Z","1","Venezuela","D.F.","Caracas"
"1533","2002-03","J. Boll","Javier Eduardo Boll","CF","D","D","3","Venezuela","D.F.","Caracas"
"1534","2002-03","R. Caraballo","Ramon Caraballo Sánchez","P","A","D","1","Republica Dominicana","","Rio San Juan"
"1535","2002-03","G. Casadiego","Gerardo Casadiego","P","D","D","3","Venezuela","Lara","Barquisimeto"
"1536","2002-03","M. Castillo","Marcos Castillo","P","D","D","4","Venezuela","Sucre","Rio Caribe"
"1537","2002-03","H. Cerezo","Hector Cerezo","P","Z","Z","1","Venezuela","Miranda","Santa Teresa"
"1538","2002-03","L. Collier","Louis Keith Collier","CF","D","D","3","USA","Illinois","Chicago"
"1539","2002-03","C. Colon","Cristóbal Colon","SS","A","D","17","Venezuela","Vargas","La Guaira"
"1540","2002-03","J. Cordido","Julio César Cordido Mejias","3B","D","D","5","Venezuela","Yaracuy","San Felipe"
"1541","2002-03","C. Duran","Carlos Duran","CF","Z","Z","3","Venezuela","Lara","Barquisimeto"
"1542","2002-03","S. Falteisek","Steven James Falteisek","P","D","D","3","USA","Nueva York","Mineola"
"1543","2002-03","E. González","Enrique César González","P","D","D","3","Venezuela","Bolivar","Ciudad Bolivar"
"1544","2002-03","J. Hernández","José Hernández","C","D","D","2","Venezuela","Carabobo","Valencia"
"1545","2002-03","J. Julio","Jorge Dandys Julio Tapia","P","D","D","6","Venezuela","D.F.","Caracas"
"1546","2002-03","P. Lennon","Patrick Orlando Lennon","BD","D","D","1","USA","Carolina del Norte","Whiteville"
"1547","2002-03","A. Levrault","Allen Levrault","P","D","D","2","USA","Massachusetts","Fall River"
"1548","2002-03","F. Lira","Antonio Felipe Lira","P","D","D","14","Venezuela","Miranda","Santa Teresa del Tuy"
"1549","2002-03","A. Machado","Albenis Machado","SS","A","D","6","Venezuela","D.F.","Caracas"
"1550","2002-03","J. Marquez","Jesús Marquez","CF","Z","Z","11","Venezuela","D.F.","Caracas"
"1551","2002-03","G. Mata","Gustavo Mata","P","D","D","1","Venezuela","Sucre","Carupano"
"1552","2002-03","C. Mendoza","Carlos Mendoza","3B","A","D","3","Venezuela","Lara","Barquisimeto"
"1553","2002-03","A. Oropeza","Asdrubal Oropeza","3B","D","D","3","Venezuela","Lara","Barquisimeto"
"1554","2002-03","D. Pacheco","Delvis Pacheco","P","D","D","7","Venezuela","D.F.","Caracas"
"1555","2002-03","M. Pernalete","Marco Pernalete","2B","A","D","6","Venezuela","Lara","Barquisimeto"
"1556","2002-03","B. Pulsipher","William Thomas Pulsipher","P","Z","Z","1","USA","Georgia","Fort Benning"
"1557","2002-03","L. Raven","Luis Alberto Raven Enriquez","BD","D","D","12","Venezuela","Vargas","La Guaira"
"1558","2002-03","F. Rodríguez","Francisco José Rodríguez","P","D","D","1","Venezuela","D.F.","Caracas"
"1559","2002-03","G. Rodríguez","Guillermo Segundo Rodríguez Pérez","C","D","D","7","Venezuela","Lara","Barquisimeto"
"1560","2002-03","J. Salas","José Salas","1B","D","D","2","Venezuela","D.F.","Caracas"
"1561","2002-03","R. Salazar","Richard Salazar","P","Z","Z","2","Venezuela","D.F.","Caracas"
"1562","2002-03","B. Simon","Benji Simon","P","D","D","2","USA","Ohio","Elyra"
"1563","2002-03","R. Stratton","Robert Stratton","CF","D","D","1","USA","California","Santa Barbara"
"1564","2002-03","E. Stull","Everett James Stull","P","D","D","2","USA","Kansas","Fort Riley"
"1565","2002-03","V. Valencia","Víctor Rafael Valencia","C","D","D","4","Venezuela","Aragua","Maracay"
"1566","2002-03","J. Velandia","Jorge Luis Velandia Macias","SS","D","D","11","Venezuela","D.F.","Caracas"
"1567","2002-03","T. Wilson","Travis Wilson","CF","D","D","1","Nueva Zelanda","","Christchurch"
"1568","2003-04","A. Álvarez","Antonio Enrique Álvarez","CF","D","D","7","Venezuela","D.F.","Caracas"
"1569","2003-04","N. Álvarez","Nicolás Álvarez","CF","D","D","1","USA","Florida","Miami"
"1570","2003-04","F. Arellan","Félix Arellan","P","D","D","5","Venezuela","Vargas","La Guaira"
"1571","2003-04","E. Arteaga","Erick Alexander Arteaga","P","D","D","4","Venezuela","Yaracuy","San Felipe"
"1572","2003-04","E. Bellorin","Edwin Daniel Bellorin Morales","C","D","D","1","Venezuela","Bolivar","San Felix"
"1573","2003-04","G. Blanco","Gregor M. Blanco Pedraza","CF","Z","Z","2","Venezuela","D.F.","Caracas"
"1574","2003-04","J. Boll","Javier Eduardo Boll","CF","D","D","4","Venezuela","D.F.","Caracas"
